"check_id","status","detail"
"candidate_identity_and_nonmigration_status","PASS","Candidate is a nonmigratory survival classification started at order 61 and pending independent review."
"approved_comparison_dependencies","PASS","Exact approved comparison cab69c5 and review bundle 0acd964 are the only formal dependencies."
"authoritative_matrix_hash_and_shape","PASS","Authoritative matrix has 52 claims, 11 columns, and hash 672170253dab3cd2798552cf70e175cfac08941af961d85d3c96d9b567e536ba"
"historical_inventory_exact_and_read_only","PASS","All four allowed historical inventory sources retain exact hashes."
"status_vocabulary_and_exact_locks","PASS","Every claim has exactly one allowed status and all 52 conservative status locks match."
"status_counts_exact","PASS","Status counts are 8 survives, 13 conditional, 7 changes, 12 rejected, 6 pending, and 6 outside scope."
"action_vocabulary_compatibility_and_counts","PASS","All actions match status semantics; counts are 21 retain, 10 replace, 9 remove, 6 do not add, and 6 pending."
"historical_locators_exist","PASS","All 52 source line locators exist inside the four exact allowed inventories."
"current_evidence_paths_hashes_and_locators","PASS","Every row cites existing current evidence with an exact hash and valid JSON pointer or manifest anchor."
"evidence_registry_complete_and_exact","PASS","The evidence registry covers every cited current artifact at its exact byte hash."
"historical_sources_not_current_evidence","PASS","No manuscript, prior derivation, or governance inventory is used as proof evidence."
"complete_rows_and_unique_ids","PASS","The matrix has contiguous unique IDs and no empty machine-readable field."
"no_archived_formula_or_branch_copy","PASS","No archived formula, calibrated cutoff, or feasibility-branch label appears in a current replacement."
"no_current_scalar_equilibrium_label","PASS","No current equilibrium assessment is assigned an isolated historical scalar label."
"no_forbidden_current_object_wording","PASS","Current replacements use direct response and information language without forbidden historical terminology."
"PBE_local_relevance_and_simultaneous_protocol","PASS","PBE-only, outcome-signature relevance, equality response, and simultaneous ballot are classified separately."
"discount_and_optout_discipline","PASS","Immediate opt-out and beta-once dating are correctly separated from the rejected terminal formula."
"belief_core_and_hardcoded_belief_split","PASS","The informational weak-vote core survives conditionally while hard-coded historical beliefs change."
"direct_cutoff_scope_is_faithful","PASS","The historical full expected IC survives, including its direct-cutoff reduction only under certain current implementation."
"minimal_coalition_and_zero_gifts_rejected","PASS","Minimal-support and zero-gift normalization is rejected with current gift/support scope."
"motifs_split_from_exhaustiveness","PASS","Historical outcome motifs survive only as subclasses; exhaustive reduction is rejected."
"scalar_theorems_rejected_but_exact_projections_retained","PASS","Global scalar characterizations are rejected while five exact upper/subclass projections are retained with scope."
"boundary_appendix_and_delay_exclusivity_rejected","PASS","Delay-only-at-beta-one and Appendix C C1-C13/table are nonmigrating current characterizations."
"full_common_domain_and_entry_by_assessment","PASS","Common existence is full N>=3 and entry is retained assessment by assessment with equality formation."
"three_nesting_objects_separated","PASS","Pairwise, possible-cost, guaranteed-cost, and universal cross-pair nesting are separately classified."
"M_only_existence_not_universal_and_U_only_not_excluded","PASS","N>=4 majority-only existence is retained; unanimity-only existence remains pending without an attained pair or exclusion proof."
"H_floor_conditional_signs_and_equality_counterexample","PASS","The historical ex-ante H floor survives and is strengthened typewise; both-form weak ordering and global rank remain pending; the historical equality-only clause is rejected by a domain-matched both-form witness."
"universal_rule_ranking_pending","PASS","Universal rule ranking is explicitly pending and not claimed."
"extensions_archives_and_goal3_outside_scope","PASS","Agenda power, endogenous rule choice, archived BF/OPEC numbers, Goal-3 artifacts, and hybrid/delayed exits are outside scope."
"No_Cheap_H_current_theorem_rejected","PASS","Historical No-Cheap-H is rejected as a current theorem."
"migration_gate_pending","PASS","Protected-target migration remains explicitly pending and unauthorized."
"protected_manifest_and_all_27_hashes","PASS","All 27 protected manuscripts, outputs, historical artifacts, and verifiers remain byte-identical."
"protected_v5_v6_and_prior_derivation_exact","PASS","v5, v6, and the prior derivation inventory are unchanged."
"required_topic_index_complete","PASS","The machine-readable topic index covers all 52 claims exactly."
"matrix_core_validator_pass","PASS","The integrated core validator accepts the exact candidate."
"negative_missing_evidence_blocked","PASS","Negative test PASS: deleting evidence blocks the candidate."
"negative_status_overclaim_blocked","PASS","Negative test PASS: promoting pending universal nesting to survives is rejected."
"negative_archived_formula_and_label_copy_blocked","PASS","Negative test PASS: an archived formula and branch label are rejected."
"negative_current_PBE_label_blocked","PASS","Negative test PASS: assigning a historical scalar label to a current equilibrium is rejected."
"negative_old_formula_survival_blocked","PASS","Negative test PASS: marking archived formulas as surviving is rejected."
"negative_protected_hash_mutation_blocked","PASS","Negative test PASS: changing a protected hash blocks the matrix."
"negative_comparison_dependency_mutation_blocked","PASS","Negative test PASS: changing the approved comparison hash invalidates the candidate."
