"check_id","status","detail"
"batch_identity","PASS","R1 batch PASS interface: f4ac7b89f4c08d4ee461ca1431135286304abaae2589a337aeffdb38b5941c3a"
"upstream_exact_hashes","PASS","Gate 0 and R2 batch exact hashes match the frozen inputs."
"component_inventory","PASS","Batch inventories 17 Gate 0, R2, C1, note, status, verifier, and table components."
"component_hashes","PASS","All 17 component hashes match exact bytes."
"transitive_dependencies","PASS","All 5 Gate 0 and 19 R2-batch transitive component hashes match."
"protected_manifest_and_hashes","PASS","All 27 protected artifacts remain byte-identical."
"approved_c1_hashes","PASS","Both exact independently approved C1 hashes are frozen."
"c1_upstream_provenance","PASS","Both C1 interfaces point to the exact Gate 0 and R2 batch hashes."
"c1_export_domain_and_correspondence","PASS","Both C1 objects export full assessment-level correspondences on N>=3."
"node_check_tables_pass","PASS","Node tables retain U 37/37 and M 23/23 PASS."
"two_independent_passes_per_node","PASS","Each exact repaired C1 has formal and adversarial zero-finding PASS rereviews."
"review_report_matches","PASS","Consolidated read-only review report records both approvals, probes, and quarantines."
"rejected_history_quarantined","PASS","Rejected da52 and b09 hashes are recorded only as nonconsumable history."
"execution_events_exact","PASS","R1 close events are exactly ordered 34 through 40."
"dag_r1_status_and_orders","PASS","DAG records repaired completions, rereviews, and batch close at orders 34--40."
"dag_dependency_hashes","PASS","All started/pass DAG nodes freeze exact current dependency hashes."
"negative_barrier_before_freeze","FAIL","Premature pre-freeze ready set: r1_batch_frozen"
"ready_after_freeze_exact","FAIL","Unexpected post-freeze ready set: entry_majority, entry_unanimity"
"comparison_barrier_after_freeze","PASS","Institutional comparison remains blocked, unauthorized, unstarted, and absent."
"four_hash_mutation_guards","PASS","One-at-a-time U, M, R2-batch, and R1-batch hash mutations invalidate their immediate frozen consumers."
"proof_ledger_closed","PASS","Proof ledger closes both repaired R1 nodes and the batch at the exact orders."
"status_report_closed","PASS","R1 batch status reports PASS, exact hashes, order 40, and the ready antichain."
"no_entry_artifacts_created","PASS","No entry interface was created by the R1 freeze."
"no_substantive_batch_claim","PASS","Batch adds no formation, comparison, scalarization, or coalition result."
