object	state_id	depends_on	method	status	evidence	reviewer	started_order	passed_order
Initial Git and protected-artifact snapshot	gate0_contract	None	SHA-256 and Git inspection	checked numerically	quality_reports/2026-08-11_pivotal_response_protected_hash_manifest.tsv	implementer	1	2
Extensive-form contract and dependency-complete bundle	gate0_contract	Primitive source only	Reconstruction plus two independent read-only reviews	proved	model_redesign/pivotal_response_interfaces/gate0_bundle_v1.json; model_redesign/pivotal_response_interfaces/gate0_review_v1.json	two independent read-only reviewers	5	10
Vote-relevance and completion discipline	gate0_contract	Extensive-form contract	Formal registry, N=3..60 checks, product-hazard tests, and independent review	proved	tables/pivotal_response_relevance_registry_v1.csv; model_redesign/pivotal_response_interfaces/gate0_review_v1.json	two independent read-only reviewers	5	10
General zero-gift or minimal-coalition conclusion	gate0_contract	Proposal-contingent full-profile completions	N=5 open-set weak-only majority counterexample	rejected	scripts/verify_pivotal_response_gate0.R; model_redesign/pivotal_response_rederivation.Rmd	implementer	1	
Exhaustive ballot transitions	gate0_contract	Extensive-form contract	Authoritative range parser, enumeration N=3..60, mutation tests, and independent review	proved	tables/pivotal_response_gate0_transitions_v1.csv; model_redesign/pivotal_response_interfaces/gate0_review_v1.json	two independent read-only reviewers	5	10
Sufficient states and information sets	gate0_contract	Extensive-form contract	Stage-specific registries and independent review	proved	tables/pivotal_response_information_sets_v1.csv; tables/pivotal_response_sufficient_states_v1.csv; model_redesign/pivotal_response_interfaces/gate0_review_v1.json	two independent read-only reviewers	5	10
Continuation DAG and batch barriers	gate0_contract	Extensive-form contract	Skill DAG checker, negative copied-DAG tests, and independent review	proved	model_redesign/pivotal_response_game_dag.json; model_redesign/pivotal_response_interfaces/gate0_review_v1.json	two independent read-only reviewers	5	10
Gate 0 review round 1	gate0_contract	Gate 0 candidate contract hash 37bd422df0bafd7c93162198594c49fd3114d304750d282318d7a705348bc9bb	Two independent read-only reviews returned REPAIR	rejected	37bd422df0bafd7c93162198594c49fd3114d304750d282318d7a705348bc9bb; review history in gate0_review_v1.json	two independent read-only reviewers	3	
Independent Gate 0 rereview and close	gate0_contract	Repaired bundle sha256:6e28cb3faf3b70bc5ed990ce35a9e39326be15f93252e93e6663d771e2b0b7c1	Formal plus adversarial read-only rereview with zero findings	proved	model_redesign/pivotal_response_interfaces/gate0_review_v1.json; quality_reports/2026-08-11_pivotal_response_gate0_independent_review.md	two independent read-only reviewers	7	10
Terminal unanimity with H active	r2_unanimity_active_h	Gate 0 frozen bundle sha256:6e28cb3faf3b70bc5ed990ce35a9e39326be15f93252e93e6663d771e2b0b7c1	Backward derivation plus two independent read-only reviews	proved	model_redesign/pivotal_response_interfaces/r2_unanimity_active_h_v1.json sha256:f3ca4ebf28827d7e18d9f3a2d07d41ffd6fe57532c9af09300f20a8ab5cecf10; 18/18 local checks; r2_batch_review_v1.json	two independent read-only reviewers	11	18
Terminal majority with H active, initial candidate	r2_majority_active_h	Gate 0 frozen bundle sha256:6e28cb3faf3b70bc5ed990ce35a9e39326be15f93252e93e6663d771e2b0b7c1	Backward derivation plus two independent cold reviews	rejected	sha256:93fee7f50a0b2d07f584ec60f6d39339ed238cd3d1b018751bb24cdc3efb79aa confused off-path ballot belief rho(s) with true nu; both reviewers returned REPAIR	two independent read-only reviewers	12	
Terminal majority with H active, repaired candidate	r2_majority_active_h	Gate 0 frozen bundle sha256:6e28cb3faf3b70bc5ed990ce35a9e39326be15f93252e93e6663d771e2b0b7c1	Backward rederivation plus two independent read-only rereviews separating rho(s) from true nu	proved	model_redesign/pivotal_response_interfaces/r2_majority_active_h_v1.json sha256:a4ae73e9bb4114490bbc517732eca0ff7f5368186aee1a02388a8f85f52568b2; 17/17 local checks; r2_batch_review_v1.json	two independent read-only rereviewers	19	22
Terminal majority weak-only	r2_majority_weak_only	Gate 0 frozen bundle sha256:6e28cb3faf3b70bc5ed990ce35a9e39326be15f93252e93e6663d771e2b0b7c1	Backward derivation plus two independent read-only reviews	proved	model_redesign/pivotal_response_interfaces/r2_majority_weak_only_v1.json sha256:e0ec6cd35e145f04d1a2897fc1f78157f2b0d45de478046ac5451b2df0a74b5d; 13/13 local checks; r2_batch_review_v1.json	two independent read-only reviewers	13	18
R2 batch independent review and freeze	r2_batch_review	All three R2 nodes frozen PASS	Dependency-complete batch freeze plus mechanical verifier	proved	model_redesign/pivotal_response_interfaces/r2_batch_review_v1.json sha256:00f84d4221d100f0def858e8c8bf19a58f79522f217118693837edf73583316a; scripts/verify_pivotal_response_r2_batch.R	batch governance implementer after independent node reviews	23	25
Round 1 unanimity, initial candidate	r1_unanimity	r2_batch_review sha256:00f84d4221d100f0def858e8c8bf19a58f79522f217118693837edf73583316a and C2-U sha256:f3ca4ebf28827d7e18d9f3a2d07d41ffd6fe57532c9af09300f20a8ab5cecf10	Backward derivation plus independent reviews	rejected	sha256:da52b135198898948ae88f919a849c76189f27fc6fff4d3f7646c4218d0f30aa did not close/restrict N=3 existence and had incomplete entry export/Bayes test	two independent read-only reviewers	26	
Round 1 unanimity, repaired candidate	r1_unanimity	r2_batch_review sha256:00f84d4221d100f0def858e8c8bf19a58f79522f217118693837edf73583316a and C2-U sha256:f3ca4ebf28827d7e18d9f3a2d07d41ffd6fe57532c9af09300f20a8ab5cecf10	Backward repair plus formal and adversarial read-only rereviews	proved	model_redesign/pivotal_response_interfaces/r1_unanimity_v1.json sha256:37aae1bfe7921c6c90aff5d05ed301f8729c2b899477991619bcf0cb6c96e8b5; 37/37 local checks; 500-cell cold probe; r1_batch_frozen_v1.json	two independent read-only rereviewers	32	37
Round 1 majority, initial candidate	r1_majority	r2_batch_review sha256:00f84d4221d100f0def858e8c8bf19a58f79522f217118693837edf73583316a, C2-M-active sha256:a4ae73e9bb4114490bbc517732eca0ff7f5368186aee1a02388a8f85f52568b2, and C2-M-WO sha256:e0ec6cd35e145f04d1a2897fc1f78157f2b0d45de478046ac5451b2df0a74b5d	Backward derivation plus independent reviews	rejected	sha256:b09b54bb32aab50c770847768e75d02c2f1c0e2d19cad9420fb4d86b4b6cd03e falsely scalarized N=3,o_0=0 proposer values	two independent read-only reviewers	27	
Round 1 majority, repaired candidate	r1_majority	r2_batch_review sha256:00f84d4221d100f0def858e8c8bf19a58f79522f217118693837edf73583316a, C2-M-active sha256:a4ae73e9bb4114490bbc517732eca0ff7f5368186aee1a02388a8f85f52568b2, and C2-M-WO sha256:e0ec6cd35e145f04d1a2897fc1f78157f2b0d45de478046ac5451b2df0a74b5d	Backward repair plus formal and adversarial read-only rereviews	proved	model_redesign/pivotal_response_interfaces/r1_majority_v1.json sha256:21c3a9dd2d6c9d25450978c2f7d9925af02e478b9c03d421d2a7b0f9aa2c77c9; 23/23 local checks; 932-assessment cold probe; r1_batch_frozen_v1.json	two independent read-only rereviewers	33	37
R1 batch freeze	r1_batch_frozen	Both R1 nodes frozen PASS	Dependency-complete batch hash freeze plus mechanical verifier	proved	model_redesign/pivotal_response_interfaces/r1_batch_frozen_v1.json sha256:f4ac7b89f4c08d4ee461ca1431135286304abaae2589a337aeffdb38b5941c3a; scripts/verify_pivotal_response_r1_batch.R	batch governance implementer after independent node rereviews	38	40
Entry under unanimity, initial candidate	entry_unanimity	r1_batch_frozen sha256:f4ac7b89f4c08d4ee461ca1431135286304abaae2589a337aeffdb38b5941c3a and r1_unanimity sha256:37aae1bfe7921c6c90aff5d05ed301f8729c2b899477991619bcf0cb6c96e8b5	Collective formation assessment by assessment plus formal and adversarial read-only review	rejected	sha256:efa5933adba180bff9d1c8ffd6ff6c53b7dc5345de72b14f088a7dd2542553e8 required two minor notation and execution-record repairs; mathematics unchanged	two independent read-only reviewers	41	
Entry under unanimity, repaired candidate	entry_unanimity	r1_batch_frozen sha256:f4ac7b89f4c08d4ee461ca1431135286304abaae2589a337aeffdb38b5941c3a and r1_unanimity sha256:37aae1bfe7921c6c90aff5d05ed301f8729c2b899477991619bcf0cb6c96e8b5	Collective formation assessment by assessment plus formal and adversarial read-only rereviews	proved	model_redesign/pivotal_response_interfaces/entry_unanimity_v1.json sha256:05e39ad2b84ede134268ffae0898c8cafd8f3de01ef725ca2da6159156a83ed6; 37/37 local checks; entry_batch_review_v1.json	two independent read-only rereviewers	47	50
Entry under majority	entry_majority	r1_batch_frozen sha256:f4ac7b89f4c08d4ee461ca1431135286304abaae2589a337aeffdb38b5941c3a and r1_majority sha256:21c3a9dd2d6c9d25450978c2f7d9925af02e478b9c03d421d2a7b0f9aa2c77c9	Collective formation assessment by assessment plus formal and adversarial read-only reviews	proved	model_redesign/pivotal_response_interfaces/entry_majority_v1.json sha256:4eb343ce6f6fb7c34782e708a0e787908437d2682d079e91f26103706c083f21; 24/24 local checks; entry_batch_review_v1.json	two independent read-only reviewers	42	46
Entry batch independent review and freeze	entry_batch_review	Both entry nodes frozen PASS on common domain N>=3	Dependency-complete batch freeze plus mechanical verifier	proved	model_redesign/pivotal_response_interfaces/entry_batch_review_v1.json sha256:8817a9c505ce9e5b79deea1b38055d88a629e740e324fbcd5bca707b108b5433; scripts/verify_pivotal_response_entry_batch.R	batch governance implementer after independent node reviews	51	53
Institutional comparison	institutional_comparison	entry_batch_review sha256:8817a9c505ce9e5b79deea1b38055d88a629e740e324fbcd5bca707b108b5433; entry-U sha256:05e39ad2b84ede134268ffae0898c8cafd8f3de01ef725ca2da6159156a83ed6; entry-M sha256:4eb343ce6f6fb7c34782e708a0e787908437d2682d079e91f26103706c083f21	Cartesian-product comparison, 42/42 mechanical checks, formal/cold and adversarial read-only reviews	proved	model_redesign/pivotal_response_interfaces/institutional_comparison_v1.json sha256:cab69c5ddda3616f51c697c189c86316df5546501a183eb6cc9e437dc813f3af; model_redesign/pivotal_response_interfaces/institutional_comparison_review_v1.json sha256:0acd9648eb7e03d4dabfaa91ffd559fe3c5b6f61a96ba676d6c6ccd9d4c6bb3c	two independent read-only reviewers	54	60
