"check_id","status","detail"
"review_bundle_identity_and_hash","PASS","Final review bundle is PASS at exact SHA-256 c198391dc24980eef150f58b6756e46d22b5b6aee168d67fdc687757c7304f80"
"reviewed_release_exact_and_immutable","PASS","The exact repaired candidate release remains immutable and is accepted by the separate review bundle."
"dependency_complete_component_inventory","PASS","The bundle inventories all 17 direct analytic, governance, presentation, validation, status, and visual components."
"all_component_hashes_exact","PASS","All 17 direct component hashes match their exact bytes."
"exact_presentation_bytes","PASS","Rmd, PDF, HTML, and TeX retain the exact repaired presentation bytes."
"two_independent_zero_finding_reviews","PASS","Both required independent read-only reviews accepted the exact release with 0/0/0 findings."
"supplemental_visual_60_of_60","PASS","Supplemental read-only visual rereview inspected 60/60 pages, confirmed page 57, and found 0/0/0 issues."
"rejected_release_history_and_repair_link","PASS","The rejected a930d511/43e0023e page-57 defect is preserved and linked to the repaired d06fe49b release."
"master_verifier_and_accepted_exact_output","PASS","The immutable master verifier and accepted exact output snapshot establish 25/25 PASS without rewriting candidate bytes."
"master_check_snapshot_exact","PASS","The immutable master check snapshot remains 25/25 PASS."
"candidate_status_and_visual_audit_exact","PASS","Candidate status and visual-audit snapshots retain exact bytes."
"protected_manifest_and_27_artifacts","PASS","The protected manifest and all 27 protected artifacts retain exact hashes."
"dag_exact_all_pass_ready_none","PASS","The exact DAG retains all 12 game nodes PASS through order 67 with Ready: none."
"solve_dynamic_games_dag_checker","PASS","solve-dynamic-games reports VALID and Ready: none under execution-order audit."
"proof_ledger_exact_and_unchanged","PASS","The analytic proof ledger retains its exact order-67 close bytes."
"independent_review_report_exact","PASS","Independent-review report records exact-hash PASS, 0/0/0 findings, 60/60 pages, and an empty frontier."
"freeze_status_exact_and_nonmigrating","PASS","Final status records PASS, mechanical closure, Ready none, and the nonmigration boundary."
"release_nonmigration_consumer_contract","PASS","The final consumer contract is exact-hash, analytic-preserving, and nonmigrating."
"negative_mutation_reviewed_release_hash","PASS","Negative mutation: changing the reviewed release hash invalidates final acceptance."
"negative_mutation_reviewer_verdict","PASS","Negative mutation: a non-PASS required review invalidates final acceptance."
"negative_mutation_reviewer_findings","PASS","Negative mutation: a nonzero required-review finding count invalidates final acceptance."
"negative_mutation_component_hash","PASS","Negative mutation: changing the repaired PDF component hash breaks dependency closure."
"negative_mutation_rejected_release_substitution","PASS","Negative mutation: substituting the rejected a930d511 release invalidates the close."
"negative_mutation_visual_repair","PASS","Negative mutation: losing page-57 repair confirmation invalidates the visual close."
"negative_mutation_dag_reopen","PASS","Negative mutation: reopening a game-DAG node invalidates final release closure."
"negative_mutation_protected_hash","PASS","Negative mutation: changing a protected hash invalidates final release closure."
"negative_mutation_migration_authority","PASS","Negative mutation: granting manuscript migration authority invalidates this nonmigrating close."
