"check_id","passed","detail"
"zero_low_branch_payoffs_match_reduced_forms",TRUE,"three branch payoffs are built separately from offers and state weights"
"zero_low_low_class_dominates_when_L_ge_P",TRUE,"low-only attains the security value in the L>=P regime"
"zero_low_pool_class_strict_when_P_gt_L",TRUE,"canonical pooling strictly beats both off-path guarantees when P>L"
"zero_low_multiplicity_condition",TRUE,"independent payoff comparison reproduces both multiplicity regimes"
"o1_one_shaving_gap_positive",TRUE,"the guarantee and on-path payoff are constructed independently"
"beta_one_rejection_value_from_recognition",TRUE,"R2 recognition probability times recognized-proposer surplus gives S/m"
"beta_one_low_branch_identity",TRUE,"current low-only offers D0/m to every non-proposer"
"beta_one_selected_classes_attain_security",TRUE,"low/rejection attain the L>=P floor; pool/rejection beat it when P>L"
"beta_one_low_multiplicity_condition",TRUE,"branch payoff comparison reproduces both P>L low-only outcomes"
"majority_boundary_branch_bounds_smoke",TRUE,"smoke check for three independently constructed algebraic bound branches"
"endpoint_unanimity_lateral_sequences",TRUE,"mu_E/2 has no regular U PBE; (1+mu_E)/2 clears the payoff cutoff"
"endpoint_majority_BM_convergence",TRUE,"B_M approaches D0 at 0+ and c at 1- by independent substitutions"
"endpoint_N4_lower_tie_points_to_exclusion",TRUE,"when D0=E, every positive interior epsilon has B_M<E"
