"check_id","status","detail"
"dependency_gate0_hash","PASS","gate0 sha256=6e28cb3faf3b70bc5ed990ce35a9e39326be15f93252e93e6663d771e2b0b7c1"
"interface_exists","PASS","r2_majority_active_h_v1.json"
"fixed_rho_pure_exhaustion_N3_N13","PASS","profile-regimes=20470 mismatches=0"
"fixed_rho_mixed_grid_N3_N7","PASS","profile-regimes=19525 mismatches=0"
"terminal_branch_enumeration","PASS","profiles=378 mismatches=0"
"rho_best_response_enumeration","PASS","comparisons=2611 mismatches=0"
"true_nu_outcome_payoff_enumeration","PASS","comparisons=5622 mismatches=0"
"F_S_population_and_B_boundaries","PASS","comparisons=140 mismatches=0"
"rho_nu_separation_and_B0_punishment","PASS","comparisons=220 mismatches=0"
"N3_N5_o0_positive_forced_value_one","PASS","equilibrium profiles=18 mismatches=0"
"N3_N5_o0_zero_sharp_interval","PASS","comparisons=378 mismatches=0"
"N_ge_6_failure_and_interval_constructions","PASS","comparisons=3690 mismatches=0"
"zero_value_S_tie_characterization","PASS","grid cases=138 mismatches=0"
"explicit_rho_nu_layers","PASS","interface distinguishes ballot belief rho from true deviation distribution nu"
"native_R2_discount_zero","PASS","interface declares zero discount applications in native Round-2 units"
"candidate_rereview_status","PASS","repaired interface remains pending independent rereview"
"full_identity_type_terminal_coordinates","PASS","pre-recognition interface retains identity, type, and terminal coordinates"
