"check_id","passed","detail"
"quota_geometry",TRUE,"7560 regular majority grid rows"
"paid_exclusion_is_strictly_better_than_delay",TRUE,"E-c=1-qc>0 for beta<1 and q<=m"
"paid_exclusion_gap_identity",TRUE,"E-c=1-qc"
"A_B_identity",TRUE,"A-B=mu(1-c)>0"
"low_candidate_identity",TRUE,"low-only candidate is below B whenever k>1"
"small_all_pass_below_exclusion",TRUE,"T=E-(1-mu)o0<E in the regular domain"
"security_floor_range",TRUE,"0<F_M<=1"
"N4_existence_complement",TRUE,"N=4 existence and nonexistence regions are exact complements"
"N4_named_examples",TRUE,"N4_strict_nonexistence FALSE | N4_tie_nonexistence FALSE | N4_pooling TRUE"
"N4_tie_example_is_exact",TRUE,"B=P>E in the named tie case"
"strong_no_cheap_implies_E_ge_B",TRUE,"o0>=kc implies E>=B uniformly over mu"
"strong_no_cheap_implies_E_gt_P",TRUE,"o1>o0>=kc implies E>P"
"no_cheap_endpoint_high_is_nonpositive",TRUE,"qc-1<0 for beta<1"
"large_N_separating_condition",TRUE,"A>=F reduces to (1-mu)o0<=kc in the regular domain"
"large_N_weak_total_bounds",TRUE,"every canonical large-N weak total can lie within [F,1]"
"proposal_bound_intermediate_low_r",TRUE,"intermediate r<=k-1 completion is bounded by B"
"proposal_bound_intermediate_high_r",TRUE,"intermediate r>=k completion is strictly below E"
