claim_id	node_id	cell_id	record_or_family_id	member_domain	claim_kind	claim_text	domain	status	selection_status	assumptions_used	source_record_ids	source_hashes	payoff_date	evidence_path	proof_path
AC-CLM-001	AC	ALL	AGENDA-EXT-AC-COLLECTION-V1	all source snapshots	integration	AC consumes the imported A_M and A_U candidates only through their exact IDs, hashes, family domains and atomic binders, without copying their complete continuation views.	all primitive restrictions	proved	no source member selected	authorized source commits; imported blobs preserved	AGENDA-EXT-A-M-COLLECTION-V1;AGENDA-EXTENSION-A-U-CANDIDATE-2026-08-27	c45b4420b0c1a4fe7dac2187ee90e79da5d47365eb32ebe2759aaa746ebcb976;d4bedcc1d579a38ca2a095ab2f1ce0256d1b4ce0af039076c2a954eeee3e47a7	A	model_redesign/agenda_extension_AC_candidate_simplified.json	model_redesign/agenda_extension_AC_derivation_simplified.md#1-escopo-fontes-e-limite-da-integração
AC-CLM-002	AC	EXISTS	AC-EXACT-JOINT-MEMBER-RELATION-V1	b_M in B_M(d) and b_U in B_U(d)	integration	A pair is compatible if and only if it shares the exact primitive tuple d, each source binder belongs to its complete family at d, source hashes match and neither binder is spliced; no further cross-rule selection or stochastic coupling is authorized.	D_M_plus intersect D_U_plus	proved	all compatible full-member pairs preserved	counterfactual rules share primitives but not equilibrium-selection or randomization primitives	AGENDA-EXT-A-M-FAMILY-ALL-PBE-V1;A-U-FAM-NU-ZERO;A-U-FAM-LOW-PRIOR;A-U-FAM-HIGH-PRIOR-INTERIOR;A-U-FAM-NU-ONE	c45b4420b0c1a4fe7dac2187ee90e79da5d47365eb32ebe2759aaa746ebcb976;d4bedcc1d579a38ca2a095ab2f1ce0256d1b4ce0af039076c2a954eeee3e47a7	A	model_redesign/agenda_extension_AC_candidate_simplified.json	model_redesign/agenda_extension_AC_derivation_simplified.md#3-regra-necessária-e-suficiente-de-compatibilidade
AC-CLM-003	AC	EXISTS	AC-EXACT-JOINT-MEMBER-RELATION-V1	all compatible pairs	integration	The primary object K_AC(d) is the exact member-level joint relation carrying both type-conditioned payoff vectors, their U-minus-M contrasts and the ordered pair of complete source-bound outcome laws.	D_M_plus intersect D_U_plus	proved	no marginal payoff-image product and no coordinate recombination	exact full source members before projections	AGENDA-EXT-A-M-FAMILY-ALL-PBE-V1;A-U-PBE-FAMILY-COLLECTION-V1	c45b4420b0c1a4fe7dac2187ee90e79da5d47365eb32ebe2759aaa746ebcb976;d4bedcc1d579a38ca2a095ab2f1ce0256d1b4ce0af039076c2a954eeee3e47a7	A	model_redesign/agenda_extension_AC_candidate_simplified.json	model_redesign/agenda_extension_AC_derivation_simplified.md#4-conjunto-conjunto-exato-na-data-a
AC-CLM-004	AC	NONE	AGENDA-EXT-AC-COLLECTION-V1	B_M(d) empty or B_U(d) empty	coverage	AC has a comparison member if and only if both source fibers are nonempty; a surviving rule remains separately recorded and no none cell receives a payoff sentinel or fictitious comparison.	all primitive restrictions	proved	absence is preserved rather than imputed	literal source none cells; law of the fiber product	A-M-CELL-NONE;A-U-CELL-LOW-PRIOR-DELTA-NEGATIVE	c45b4420b0c1a4fe7dac2187ee90e79da5d47365eb32ebe2759aaa746ebcb976;d4bedcc1d579a38ca2a095ab2f1ce0256d1b4ce0af039076c2a954eeee3e47a7	not applicable in none cells	model_redesign/agenda_extension_AC_candidate_simplified.json	model_redesign/agenda_extension_AC_derivation_simplified.md#6-células-none-e-regra-sobrevivente
AC-CLM-005	AC	EXISTS	AC-EXACT-JOINT-MEMBER-RELATION-V1	all compatible pairs	substantive	For every pair, type payoffs are formed before the prior expectation and delta_E equals (1-nu) delta_0 plus nu delta_1.	D_M_plus intersect D_U_plus	proved	same pair and same two source binders used for every coordinate	type conditioning before prior expectation	AGENDA-EXT-A-M-H-EX-ANTE-IMAGE-V1;A-U-HEGEMON-EX-ANTE-IMAGE-V1	c45b4420b0c1a4fe7dac2187ee90e79da5d47365eb32ebe2759aaa746ebcb976;d4bedcc1d579a38ca2a095ab2f1ce0256d1b4ce0af039076c2a954eeee3e47a7	A	model_redesign/agenda_extension_AC_candidate_simplified.json	model_redesign/agenda_extension_AC_derivation_simplified.md#teorema-2--tipo-antes-do-prior
AC-CLM-006	AC	AC-CELL-BOTH-EXIST-NU-ZERO	AC-FAM-JOINT-NU-ZERO	b_M in E_M(d) and b_U=b_U0	substantive	At nu=0 the exact U payoff vector is (p_0,max{p_0,d_1}); delta_0 and delta_E equal p_0-M_0 while the zero-prior delta_1 remains max{p_0,d_1}-M_1.	nu=0 and d in D_M_plus	proved	A_U payoffs fixed; A_M and source-bound outcomes unselected	prior-support endpoint; zero-prior type remains sequentially rational	AGENDA-EXT-A-M-FAMILY-ALL-PBE-V1;A-U-FAM-NU-ZERO	c45b4420b0c1a4fe7dac2187ee90e79da5d47365eb32ebe2759aaa746ebcb976;d4bedcc1d579a38ca2a095ab2f1ce0256d1b4ce0af039076c2a954eeee3e47a7	A	model_redesign/agenda_extension_AC_candidate_simplified.json	model_redesign/agenda_extension_AC_derivation_simplified.md#51-nu0
AC-CLM-007	AC	AC-CELL-BOTH-EXIST-LOW-PRIOR	AC-FAM-JOINT-LOW-PRIOR	b_M in E_M(d) and b_U=b_UL	substantive	In the existing low-prior cell U_0=U_1=p_0, so delta_theta=p_0-M_theta and delta_E=p_0-M_E for the same compatible pair.	0<nu<=nu_star and Delta_U>=0 and d in D_M_plus	proved	A_U payoff fixed; complete A_U outcome multiplicity and all A_M binders preserved	A-U low-prior necessary-and-sufficient family	AGENDA-EXT-A-M-FAMILY-ALL-PBE-V1;A-U-FAM-LOW-PRIOR	c45b4420b0c1a4fe7dac2187ee90e79da5d47365eb32ebe2759aaa746ebcb976;d4bedcc1d579a38ca2a095ab2f1ce0256d1b4ce0af039076c2a954eeee3e47a7	A	model_redesign/agenda_extension_AC_candidate_simplified.json	model_redesign/agenda_extension_AC_derivation_simplified.md#52-0nunu_star-e-delta_u0
AC-CLM-008	AC	AC-CELL-BOTH-EXIST-HIGH-PRIOR	AC-FAM-JOINT-HIGH-PRIOR	b_M in E_M(d) and b_U=b_UH	substantive	For nu_star<nu<1, U_0=U_1=u with every u in [u_min,p_1] attained; hence each contrast value is necessarily selection-dependent even fixing b_M, while its sign may remain invariant if the exact sign set is one-sided.	nu_star<nu<1 and d in D_M_plus	proved	all u values and full binders retained	p_1>p_0; p_1-d_1=1-beta>0; A-U attainment theorem	AGENDA-EXT-A-M-FAMILY-ALL-PBE-V1;A-U-FAM-HIGH-PRIOR-INTERIOR	c45b4420b0c1a4fe7dac2187ee90e79da5d47365eb32ebe2759aaa746ebcb976;d4bedcc1d579a38ca2a095ab2f1ce0256d1b4ce0af039076c2a954eeee3e47a7	A	model_redesign/agenda_extension_AC_candidate_simplified.json	model_redesign/agenda_extension_AC_derivation_simplified.md#53-nu_starnu1
AC-CLM-009	AC	AC-CELL-BOTH-EXIST-NU-ONE	AC-FAM-JOINT-NU-ONE	b_M in E_M(d) and b_U=b_U1	substantive	At nu=1 the exact U payoff vector is (p_1,p_1), delta_theta=p_1-M_theta and delta_E=delta_1=p_1-M_1.	nu=1 and d in D_M_plus	proved	A_U payoffs and on-path outcome fixed; all A_M binders and complete off-path coordinates preserved	prior-support endpoint	AGENDA-EXT-A-M-FAMILY-ALL-PBE-V1;A-U-FAM-NU-ONE	c45b4420b0c1a4fe7dac2187ee90e79da5d47365eb32ebe2759aaa746ebcb976;d4bedcc1d579a38ca2a095ab2f1ce0256d1b4ce0af039076c2a954eeee3e47a7	A	model_redesign/agenda_extension_AC_candidate_simplified.json	model_redesign/agenda_extension_AC_derivation_simplified.md#54-nu1
AC-CLM-010	AC	EXISTS	AC-EXACT-JOINT-MEMBER-RELATION-V1	all compatible pairs	substantive	For each type and ex-ante coordinate, the exact sign set classifies all-pair strict U dominance, strict M dominance, exact ties, weak orderings and selection dependence without choosing an equilibrium.	D_M_plus intersect D_U_plus	proved	exact sign image of the member-level relation retained	contrast orientation U-M; nonempty joint fiber	AC-FAM-JOINT-NU-ZERO;AC-FAM-JOINT-LOW-PRIOR;AC-FAM-JOINT-HIGH-PRIOR;AC-FAM-JOINT-NU-ONE	c45b4420b0c1a4fe7dac2187ee90e79da5d47365eb32ebe2759aaa746ebcb976;d4bedcc1d579a38ca2a095ab2f1ce0256d1b4ce0af039076c2a954eeee3e47a7	A	model_redesign/agenda_extension_AC_candidate_simplified.json	model_redesign/agenda_extension_AC_derivation_simplified.md#7-invariância-e-dependência-de-seleção
