A_C M/S/B exact-fiber comparison mechanical verifier
Snapshot date: 2026-08-30
Orientation: U-M
Claim boundary: mechanical checks only; no PBE-completeness or abstract-factorization claim

PASS | frozen byte hash: quality_reports/plans/2026-08-30_autorizacao_inicio_A_C_msb.md
PASS | frozen byte hash: model_redesign/agenda_extension_A_M_msb_results.md
PASS | frozen byte hash: model_redesign/agenda_extension_A_M_msb_claim_ledger.tsv
PASS | frozen byte hash: quality_reports/2026-08-29_A_M_msb_two_layer_terminal_approval_and_freeze.md
PASS | frozen byte hash: quality_reports/2026-08-29_A_M_msb_two_layer_final_gate_manifest.sha256
PASS | frozen byte hash: model_redesign/agenda_extension_A_U_msb_contract.md
PASS | frozen byte hash: model_redesign/agenda_extension_A_U_msb_results.md
PASS | frozen byte hash: model_redesign/agenda_extension_A_U_msb_interface.json
PASS | frozen byte hash: model_redesign/agenda_extension_A_U_msb_claim_ledger.tsv
PASS | frozen byte hash: quality_reports/2026-08-30_A_U_msb_two_layer_terminal_approval_and_freeze.md
PASS | frozen byte hash: quality_reports/2026-08-30_A_U_msb_two_layer_final_gate_manifest.sha256
PASS | A_M final manifest verifies all frozen entries
PASS | A_U final manifest verifies all frozen entries
PASS | AC interface is valid JSON
PASS | AC ledger has the exact 16-column schema
PASS | AC ledger claim ids are unique and use the AC-MSB namespace
PASS | AC ledger keeps every payoff at date A
PASS | AC source paths exist or are versioned verifier references
PASS | domain carries y_bar and distinguishes it from y_H
PASS | principal comparison is on the same exact fiber
PASS | exact binders precede source economic summaries
PASS | cross-world joint law is not induced or identified
PASS | ex-ante values are explicitly defined before scalar envelopes
PASS | ex-ante contrast is the linked affine image of D_01
PASS | AC applies zero new beta factors
PASS | none cells use null rather than a numeric payoff sentinel
PASS | AR and all downstream mutations remain unauthorized
PASS | rho map is monotone with endpoints at nu=0.05
PASS | rho inverse at nu=0.05,p=0.00
PASS | rho inverse at nu=0.05,p=0.01
PASS | rho inverse at nu=0.05,p=0.20
PASS | rho inverse at nu=0.05,p=0.50
PASS | rho inverse at nu=0.05,p=0.90
PASS | rho inverse at nu=0.05,p=1.00
PASS | rho map is monotone with endpoints at nu=0.20
PASS | rho inverse at nu=0.20,p=0.00
PASS | rho inverse at nu=0.20,p=0.01
PASS | rho inverse at nu=0.20,p=0.20
PASS | rho inverse at nu=0.20,p=0.50
PASS | rho inverse at nu=0.20,p=0.90
PASS | rho inverse at nu=0.20,p=1.00
PASS | rho map is monotone with endpoints at nu=0.50
PASS | rho inverse at nu=0.50,p=0.00
PASS | rho inverse at nu=0.50,p=0.01
PASS | rho inverse at nu=0.50,p=0.20
PASS | rho inverse at nu=0.50,p=0.50
PASS | rho inverse at nu=0.50,p=0.90
PASS | rho inverse at nu=0.50,p=1.00
PASS | rho map is monotone with endpoints at nu=0.80
PASS | rho inverse at nu=0.80,p=0.00
PASS | rho inverse at nu=0.80,p=0.01
PASS | rho inverse at nu=0.80,p=0.20
PASS | rho inverse at nu=0.80,p=0.50
PASS | rho inverse at nu=0.80,p=0.90
PASS | rho inverse at nu=0.80,p=1.00
PASS | rho map is monotone with endpoints at nu=0.95
PASS | rho inverse at nu=0.95,p=0.00
PASS | rho inverse at nu=0.95,p=0.01
PASS | rho inverse at nu=0.95,p=0.20
PASS | rho inverse at nu=0.95,p=0.50
PASS | rho inverse at nu=0.95,p=0.90
PASS | rho inverse at nu=0.95,p=1.00
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) nu_star is interior
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) U payoff bounds are ordered
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) T5 algebraic identity
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) T5 sign equivalence
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) low-cell margin identity
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) parity identity for c/m
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[1]:N=3,beta=0.20,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) nu_star is interior
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) U payoff bounds are ordered
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) T5 algebraic identity
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) T5 sign equivalence
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) low-cell margin identity
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) parity identity for c/m
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[2]:N=4,beta=0.20,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) nu_star is interior
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) U payoff bounds are ordered
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) T5 algebraic identity
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) T5 sign equivalence
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) low-cell margin identity
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) parity identity for c/m
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[3]:N=5,beta=0.20,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) nu_star is interior
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) U payoff bounds are ordered
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) T5 algebraic identity
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) T5 uniform margin holds on the bound-admissible payoff grid
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) T5 sign equivalence
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) low-cell margin identity
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) strict low-cell region has Z_E above z_L
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) parity identity for c/m
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) strict T5 region has Z_E above all U values
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) endpoint zero payoff vector below z_H
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) endpoint one payoff vector equals z_H
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) low cell at p=0 follows Delta condition
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) low positive off-path belief is none
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) high p=0 cell is H0
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) high boundary p=nu_star is none
PASS | grid[4]:N=13,beta=0.20,o=(0.05,0.10) high p>nu_star cell is HB
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) nu_star is interior
PASS | grid[5]:N=3,beta=0.60,o=(0.05,0.10) U payoff bounds are ordered
