claim_id	equilibrium_id	branch	payoff_date	status	evidence	claim
N4-C01	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	N2 import	R1	proved	n4_r1_unanimity_rederivation_candidate.md#2-interface-n2-e-valores-transportados	Screening realizes weak payoff vector (A,0), pooling realizes (B,B), and beta is applied once.
N4-C02	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	agreement floor	R1	proved	n4_r1_unanimity_rederivation_candidate.md#lema-n4-1--acordo-pooling	Every weak agreement vote requires x_j>=C; equality is accepted.
N4-C03	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	outcome classes	R1	proved	n4_r1_unanimity_rederivation_candidate.md#4-classes-puras-de-resultado	P L and D exhaust pure outcomes; high-type-only passage is impossible.
N4-C04	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	separation	R1	proved	n4_r1_unanimity_rederivation_candidate.md#lema-n4-2--acordo-apenas-com-o-tipo-baixo	Low-type-only agreement is impossible for positive prior.
N4-C05	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	weak-veto H strategy	R1	proved	n4_r1_unanimity_rederivation_candidate.md#lema-n4-3--atraso-por-veto-fraco-e-múltiplos-vetos	With any weak veto both H types must vote yes.
N4-C06	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	single and multiple veto	R1	proved	n4_r1_unanimity_rederivation_candidate.md#lema-n4-3--atraso-por-veto-fraco-e-múltiplos-vetos	A weak voter vetoes iff x_j<C; the boundary is open for m=2 and m>=3.
N4-C07	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	H veto	R1	proved	n4_r1_unanimity_rederivation_candidate.md#lema-n4-4--atraso-por-veto-de-h	H-veto boundaries are strict and every realized delay pays the proposer C.
N4-C08	NONE	N4-SC-CELL-NO-PURE-PBE	R1	proved	n4_r1_unanimity_rederivation_candidate.md#5-certificado-de-inexistência-para-0nunustar	The feasible s_dagger ballot has no pure equilibrium for 0<nu<=nu_star.
N4-C09	N4-SC-EQ-L-STAR	nu=0	R1	proved	n4_r1_unanimity_rederivation_candidate.md#proposição-n4-a--nu0	L_star is forced and uniquely optimal; Q_L-A=1-beta.
N4-C10	N4-SC-EQ-P-STAR	nu_star<nu<=1	R1	proved	n4_r1_unanimity_rederivation_candidate.md#proposição-n4-b--nu_starnu1	P_star is forced and uniquely optimal; Q_P-B=1-beta.
N4-C11	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	m=2	R1	proved	n4_r1_unanimity_rederivation_candidate.md#7-segurança-m2-fronteiras-e-misturas	The m=2 case uses the same C cutoff; the old S_2 object is removed.
N4-C12	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	security and mixtures	R1	proved	n4_r1_unanimity_rederivation_candidate.md#7-segurança-m2-fronteiras-e-misturas	Old S_3 and agreement-delay mixtures are removed; forced agreement is strictly better by 1-beta.
N4-C13	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	full correspondence	R1	proved	n4_r1_unanimity_rederivation_candidate.md#8-correspondência-candidata	The three nu cells are mutually exclusive and exhaustive.
N4-C14	N4-SC-EQ-L-STAR;N4-SC-EQ-P-STAR	sequential completion	R1	proved	n4_r1_unanimity_rederivation_candidate.md#lema-n4-5--completamento-sequencial-nos-dois-domínios-de-existência	The complete pure ballot and admissible-belief correspondence is specified after every feasible proposal; endpoint support restriction yields a unique belief and pure H profile proposal-by-proposal at nu=0 and nu=1.
N4-C15	N4-SC-EQ-P-STAR	nu=1 endpoint	R1	proved	n4_r1_unanimity_rederivation_candidate.md#proposição-n4-b--nu_starnu1	At nu=1, support restriction fixes posterior one throughout the tree and expected-value T^Y eliminates both separating H profiles at P_star.
